序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
731,标准《水稻机械化收获减损技术规范》的编号是什么？,该标准的编号为DB36/T 1850-2023。,水稻机械化收获减损技术规范,DB36/T 1850-2023,事实型问答,GraphRAG-MCP快路径,standard_a83e246c5826d343,https://std.samr.gov.cn/db/search/stdDBDetailed?id=068B42CC753D497EE06397BE0A0A74CD,机器构建后待人工复核
732,标准《无人机影像采集及应用技术规程 第1部分：水稻》的编号是什么？,该标准的编号为DB36/T 1924.1-2023。,无人机影像采集及应用技术规程 第1部分：水稻,DB36/T 1924.1-2023,事实型问答,GraphRAG-MCP快路径,standard_a5fab390a1ea89c8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0F39C8B0DC06E500E06397BE0A0A4988,机器构建后待人工复核
733,标准《水稻保优抗倒栽培技术规程》的编号是什么？,该标准的编号为DB36/T 2226-2026。,水稻保优抗倒栽培技术规程,DB36/T 2226-2026,事实型问答,GraphRAG-MCP快路径,standard_05cc235c70cc5522,https://std.samr.gov.cn/db/search/stdDBDetailed?id=516191764518867BE06397BE0A0A0BB5,机器构建后待人工复核
734,标准《水稻沼液浸种操作技术规程》的编号是什么？,该标准的编号为DB36/T 254-1997。,水稻沼液浸种操作技术规程,DB36/T 254-1997,事实型问答,GraphRAG-MCP快路径,standard_88dd9986cfa9017d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB5772E24E05397BE0A0A3A10,机器构建后待人工复核
735,标准《塑料钵体水稻育秧盘》的编号是什么？,该标准的编号为DB36/T 265-1997。,塑料钵体水稻育秧盘,DB36/T 265-1997,事实型问答,GraphRAG-MCP快路径,standard_afafd15fb5dcf3db,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB9012E24E05397BE0A0A3A10,机器构建后待人工复核
736,标准《水稻抛秧技术规程》的编号是什么？,该标准的编号为DB36/T 271-1997。,水稻抛秧技术规程,DB36/T 271-1997,事实型问答,GraphRAG-MCP快路径,standard_dcfe94067bc16b1c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D22CB2E24E05397BE0A0A3A10,机器构建后待人工复核
737,标准《水稻主要病虫害测报与防治》的编号是什么？,该标准的编号为DB36/T 272-1997。,水稻主要病虫害测报与防治,DB36/T 272-1997,事实型问答,GraphRAG-MCP快路径,standard_99972565ee371c2d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D99DD2E24E05397BE0A0A3A10,机器构建后待人工复核
738,标准《水稻病虫综合防治》的编号是什么？,该标准的编号为DB36/T 273-1997。,水稻病虫综合防治,DB36/T 273-1997,事实型问答,GraphRAG-MCP快路径,standard_8600428cdcf51917,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D1AA32E24E05397BE0A0A3A10,机器构建后待人工复核
739,标准《杂交水稻制种技术规程》的编号是什么？,该标准的编号为DB36/T 274-1997。,杂交水稻制种技术规程,DB36/T 274-1997,事实型问答,GraphRAG-MCP快路径,standard_1d50dad24fadc31f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D14982E24E05397BE0A0A3A10,机器构建后待人工复核
740,标准《水稻直播技术操作规程》的编号是什么？,该标准的编号为DB36/T 417-2003。,水稻直播技术操作规程,DB36/T 417-2003,事实型问答,GraphRAG-MCP快路径,standard_dd710f2eae0a2bf7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D40742E24E05397BE0A0A3A10,机器构建后待人工复核
741,标准《水稻免耕生产技术规程》的编号是什么？,该标准的编号为DB36/T 488-2006。,水稻免耕生产技术规程,DB36/T 488-2006,事实型问答,GraphRAG-MCP快路径,standard_1a706ec0a190d166,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DC2512E24E05397BE0A0A3A10,机器构建后待人工复核
742,标准《水稻高产优质生产技术规程》的编号是什么？,该标准的编号为DB36/T 489-2006。,水稻高产优质生产技术规程,DB36/T 489-2006,事实型问答,GraphRAG-MCP快路径,standard_9fb14e4a9ac649c8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DC2522E24E05397BE0A0A3A10,机器构建后待人工复核
743,标准《A级绿色食品 水稻生产技术规程》的编号是什么？,该标准的编号为DB36/T 567-2009。,A级绿色食品 水稻生产技术规程,DB36/T 567-2009,事实型问答,GraphRAG-MCP快路径,standard_81a09fa5b70c461b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DE02C2E24E05397BE0A0A3A10,机器构建后待人工复核
744,标准《水稻抗稻瘟病人工接种评价技术规范》的编号是什么？,该标准的编号为DB36/T 677-2012。,水稻抗稻瘟病人工接种评价技术规范,DB36/T 677-2012,事实型问答,GraphRAG-MCP快路径,standard_3e45866812fe1d85,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D30422E24E05397BE0A0A3A10,机器构建后待人工复核
745,标准《水稻抗南方水稻黑条矮缩病人工接种评价技术规范》的编号是什么？,该标准的编号为DB36/T 766-2013。,水稻抗南方水稻黑条矮缩病人工接种评价技术规范,DB36/T 766-2013,事实型问答,GraphRAG-MCP快路径,standard_3f40a581a6acf37c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D60F32E24E05397BE0A0A3A10,机器构建后待人工复核
746,标准《水稻机械化育秧技术规程》的编号是什么？,该标准的编号为DB36/T 855-2015。,水稻机械化育秧技术规程,DB36/T 855-2015,事实型问答,GraphRAG-MCP快路径,standard_7f50aed43b8e989e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D349A2E24E05397BE0A0A3A10,机器构建后待人工复核
747,标准《水稻机械化育秧技术规程》的编号是什么？,该标准的编号为DB36/T 855-2023。,水稻机械化育秧技术规程,DB36/T 855-2023,事实型问答,GraphRAG-MCP快路径,standard_e5267a68dac6070f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=04D2E0A2956C5071E06397BE0A0A8DA4,机器构建后待人工复核
748,标准《水稻机械化插秧技术规程》的编号是什么？,该标准的编号为DB36/T 856-2015。,水稻机械化插秧技术规程,DB36/T 856-2015,事实型问答,GraphRAG-MCP快路径,standard_2b74cc59f4b29c13,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5C1C2E24E05397BE0A0A3A10,机器构建后待人工复核
749,标准《水稻机械化插秧技术规程》的编号是什么？,该标准的编号为DB36/T 856-2023。,水稻机械化插秧技术规程,DB36/T 856-2023,事实型问答,GraphRAG-MCP快路径,standard_ae7ae7a17f52ce37,https://std.samr.gov.cn/db/search/stdDBDetailed?id=04D2E0A2956D5071E06397BE0A0A8DA4,机器构建后待人工复核
750,标准《水稻二化螟防治技术规范》的编号是什么？,该标准的编号为DB36/T 881-2015。,水稻二化螟防治技术规范,DB36/T 881-2015,事实型问答,GraphRAG-MCP快路径,standard_d888ee648615f955,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D6BE82E24E05397BE0A0A3A10,机器构建后待人工复核
751,标准《水稻二化螟抗药性检测技术规范-饲料混毒法》的编号是什么？,该标准的编号为DB36/T 882-2015。,水稻二化螟抗药性检测技术规范-饲料混毒法,DB36/T 882-2015,事实型问答,GraphRAG-MCP快路径,standard_4db8c646510f8aae,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D41482E24E05397BE0A0A3A10,机器构建后待人工复核
752,标准《水稻品种抗稻曲病鉴定技术规范》的编号是什么？,该标准的编号为DB36/T 883-2015。,水稻品种抗稻曲病鉴定技术规范,DB36/T 883-2015,事实型问答,GraphRAG-MCP快路径,standard_f96a44c087b94089,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D3E422E24E05397BE0A0A3A10,机器构建后待人工复核
753,标准《水稻稻曲病防治技术规程》的编号是什么？,该标准的编号为DB36/T 884-2015。,水稻稻曲病防治技术规程,DB36/T 884-2015,事实型问答,GraphRAG-MCP快路径,standard_fe13bf91dc1d68ea,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D569B2E24E05397BE0A0A3A10,机器构建后待人工复核
754,标准《南方水稻黑条矮缩病毒RT-PCR检测技术规范》的编号是什么？,该标准的编号为DB36/T 885-2015。,南方水稻黑条矮缩病毒RT-PCR检测技术规范,DB36/T 885-2015,事实型问答,GraphRAG-MCP快路径,standard_6f7f0b9e6069cfb4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D46A52E24E05397BE0A0A3A10,机器构建后待人工复核
755,标准《南方水稻黑条矮缩病防治技术规程》的编号是什么？,该标准的编号为DB36/T 886-2015。,南方水稻黑条矮缩病防治技术规程,DB36/T 886-2015,事实型问答,GraphRAG-MCP快路径,standard_b84c2ca7f6c25ea2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D1F882E24E05397BE0A0A3A10,机器构建后待人工复核
756,标准《受淹水稻抢救技术规程》的编号是什么？,该标准的编号为DB36/T 912-2016。,受淹水稻抢救技术规程,DB36/T 912-2016,事实型问答,GraphRAG-MCP快路径,standard_3614d149e9d94c19,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D5BC12E24E05397BE0A0A3A10,机器构建后待人工复核
757,标准《水稻无土基质机械化育秧技术规程》的编号是什么？,该标准的编号为DB36/T 942-2017。,水稻无土基质机械化育秧技术规程,DB36/T 942-2017,事实型问答,GraphRAG-MCP快路径,standard_e43bf7558cfa1685,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DA4E52E24E05397BE0A0A3A10,机器构建后待人工复核
758,标准《水稻对二化螟抗性鉴定技术规程》的编号是什么？,该标准的编号为DB36/T 951-2017。,水稻对二化螟抗性鉴定技术规程,DB36/T 951-2017,事实型问答,GraphRAG-MCP快路径,standard_31d0546dd2aa2057,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D11F42E24E05397BE0A0A3A10,机器构建后待人工复核
759,标准《水稻对褐飞虱抗性鉴定技术规程》的编号是什么？,该标准的编号为DB36/T 952-2017。,水稻对褐飞虱抗性鉴定技术规程,DB36/T 952-2017,事实型问答,GraphRAG-MCP快路径,standard_36a5d8b28eaa5e54,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D97CF2E24E05397BE0A0A3A10,机器构建后待人工复核
760,标准《双季水稻机插高产栽培技术规范》的编号是什么？,该标准的编号为DB36/T 973-2017。,双季水稻机插高产栽培技术规范,DB36/T 973-2017,事实型问答,GraphRAG-MCP快路径,standard_4d38a0679fb41fb5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D11E72E24E05397BE0A0A3A10,机器构建后待人工复核
761,标准《水稻肥料面源污染防控技术规程》的编号是什么？,该标准的编号为DB37/T 1665-2010。,水稻肥料面源污染防控技术规程,DB37/T 1665-2010,事实型问答,GraphRAG-MCP快路径,standard_215dfb7e607fd5e1,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7FF62E24E05397BE0A0A3A10,机器构建后待人工复核
762,标准《水稻有害生物安全控制技术规程》的编号是什么？,该标准的编号为DB37/T 2288-2013。,水稻有害生物安全控制技术规程,DB37/T 2288-2013,事实型问答,GraphRAG-MCP快路径,standard_803c8b755b39e4f4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D76CA2E24E05397BE0A0A3A10,机器构建后待人工复核
763,标准《水稻联合收割机 通用技术条件》的编号是什么？,该标准的编号为DB37/T 2425-2013。,水稻联合收割机 通用技术条件,DB37/T 2425-2013,事实型问答,GraphRAG-MCP快路径,standard_e449f16fafbfd426,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7C602E24E05397BE0A0A3A10,机器构建后待人工复核
764,标准《水稻种肥接触型控释氮肥全量施用技术规程》的编号是什么？,该标准的编号为DB37/T 2555-2014。,水稻种肥接触型控释氮肥全量施用技术规程,DB37/T 2555-2014,事实型问答,GraphRAG-MCP快路径,standard_ce5fa8bda73b90a5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D74222E24E05397BE0A0A3A10,机器构建后待人工复核
765,标准《水稻主要病虫害防治技术规程》的编号是什么？,该标准的编号为DB37/T 2991-2017。,水稻主要病虫害防治技术规程,DB37/T 2991-2017,事实型问答,GraphRAG-MCP快路径,standard_eaa5aa3dd76c27fb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=958C2E0C7B12D3D2E05397BE0A0A168D,机器构建后待人工复核
766,标准《机插秧水稻大田生产技术规程》的编号是什么？,该标准的编号为DB37/T 3054-2017。,机插秧水稻大田生产技术规程,DB37/T 3054-2017,事实型问答,GraphRAG-MCP快路径,standard_f0d1c0b51a6c8649,https://std.samr.gov.cn/db/search/stdDBDetailed?id=95A0E638B758672BE05397BE0A0A1877,机器构建后待人工复核
767,标准《机插秧水稻硬盘旱育秧技术操作规程》的编号是什么？,该标准的编号为DB37/T 3055-2017。,机插秧水稻硬盘旱育秧技术操作规程,DB37/T 3055-2017,事实型问答,GraphRAG-MCP快路径,standard_7d1952a36a03a3d7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=95A0E638B759672BE05397BE0A0A1877,机器构建后待人工复核
768,标准《水稻全程机械化生产技术规程》的编号是什么？,该标准的编号为DB37/T 3441-2018。,水稻全程机械化生产技术规程,DB37/T 3441-2018,事实型问答,GraphRAG-MCP快路径,standard_44ad8d77a0a3bc1e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=95A0A968221E4AF7E05397BE0A0A9321,机器构建后待人工复核
769,标准《绿色食品 水稻生产技术规程》的编号是什么？,该标准的编号为DB37/T 3442-2018。,绿色食品 水稻生产技术规程,DB37/T 3442-2018,事实型问答,GraphRAG-MCP快路径,standard_adc16b4acc301968,https://std.samr.gov.cn/db/search/stdDBDetailed?id=95A0A96822264AF7E05397BE0A0A9321,机器构建后待人工复核
770,标准《水稻机械插秧栽培技术规范》的编号是什么？,该标准的编号为DB37/T 3576-2019。,水稻机械插秧栽培技术规范,DB37/T 3576-2019,事实型问答,GraphRAG-MCP快路径,standard_ca10cd86566ed24d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=95EFEE9458B2F487E05397BE0A0A597B,机器构建后待人工复核
771,标准《活化腐植酸在水稻育苗上的施用技术规程》的编号是什么？,该标准的编号为DB37/T 3828-2019。,活化腐植酸在水稻育苗上的施用技术规程,DB37/T 3828-2019,事实型问答,GraphRAG-MCP快路径,standard_eba42e24906bcb85,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9AE703E58E1C69D0E05397BE0A0A7D0A,机器构建后待人工复核
772,标准《名特优新农产品 城阳海水稻大米》的编号是什么？,该标准的编号为DB3702/T 29-2023。,名特优新农产品 城阳海水稻大米,DB3702/T 29-2023,事实型问答,GraphRAG-MCP快路径,standard_db97eb2591076198,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C32BBB3192C3E8EE06397BE0A0A83C6,机器构建后待人工复核
773,标准《水稻生产全产业链管理技术规范》的编号是什么？,该标准的编号为DB3711/T 127-2023。,水稻生产全产业链管理技术规范,DB3711/T 127-2023,事实型问答,GraphRAG-MCP快路径,standard_459aaf422e193741,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F412D3DB17C256DBE05397BE0A0A0A41,机器构建后待人工复核
774,标准《水稻钵盘旱育机插秧生产技术规程》的编号是什么？,该标准的编号为DB3713/T 211—2021。,水稻钵盘旱育机插秧生产技术规程,DB3713/T 211—2021,事实型问答,GraphRAG-MCP快路径,standard_9ba08a71eade034f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C53D4B79385A65E5E05397BE0A0AE239,机器构建后待人工复核
775,标准《水稻机械覆膜直播免打孔技术规程》的编号是什么？,该标准的编号为DB3713/T 213—2021。,水稻机械覆膜直播免打孔技术规程,DB3713/T 213—2021,事实型问答,GraphRAG-MCP快路径,standard_5f54b29d8ad49b83,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C53D4B79385C65E5E05397BE0A0AE239,机器构建后待人工复核
776,标准《临沂优质农产品病虫害监测与绿色防控技术规程 第1部分：水稻》的编号是什么？,该标准的编号为DB3713/T 217—2021。,临沂优质农产品病虫害监测与绿色防控技术规程 第1部分：水稻,DB3713/T 217—2021,事实型问答,GraphRAG-MCP快路径,standard_77f0fd6fe4eacbe7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C53D4B79386065E5E05397BE0A0AE239,机器构建后待人工复核
777,标准《农产品全产业链管理技术规范 水稻》的编号是什么？,该标准的编号为DB3713/T 244—2021。,农产品全产业链管理技术规范 水稻,DB3713/T 244—2021,事实型问答,GraphRAG-MCP快路径,standard_62803941e5951f3a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B84B1B612243CFE05397BE0A0AC19B,机器构建后待人工复核
778,标准《水稻品种 特青二号》的编号是什么？,该标准的编号为DB41/ 247-2000。,水稻品种 特青二号,DB41/ 247-2000,事实型问答,GraphRAG-MCP快路径,standard_2d8feb60b5b2e131,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6912E24E05397BE0A0A3A10,机器构建后待人工复核
779,标准《水稻品种 中国91》的编号是什么？,该标准的编号为DB41/ 248-2000。,水稻品种 中国91,DB41/ 248-2000,事实型问答,GraphRAG-MCP快路径,standard_0dcd99b76f25cd11,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6922E24E05397BE0A0A3A10,机器构建后待人工复核
780,标准《水稻品种 D优63》的编号是什么？,该标准的编号为DB41/ 249-2000。,水稻品种 D优63,DB41/ 249-2000,事实型问答,GraphRAG-MCP快路径,standard_a3ff3230bd71e8d2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6932E24E05397BE0A0A3A10,机器构建后待人工复核
781,标准《水稻品种 豫糯1号》的编号是什么？,该标准的编号为DB41/ 250-2000。,水稻品种 豫糯1号,DB41/ 250-2000,事实型问答,GraphRAG-MCP快路径,standard_b30db16498cc2bdd,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6942E24E05397BE0A0A3A10,机器构建后待人工复核
782,标准《水稻品种 黄金晴》的编号是什么？,该标准的编号为DB41/ 251-2000。,水稻品种 黄金晴,DB41/ 251-2000,事实型问答,GraphRAG-MCP快路径,standard_aa38befc18257a5b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6952E24E05397BE0A0A3A10,机器构建后待人工复核
783,标准《水稻品种 豫籼3号》的编号是什么？,该标准的编号为DB41/ 252-2000。,水稻品种 豫籼3号,DB41/ 252-2000,事实型问答,GraphRAG-MCP快路径,standard_c3b3a0b12d2a620a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6962E24E05397BE0A0A3A10,机器构建后待人工复核
784,标准《水稻品种 豫粳5号》的编号是什么？,该标准的编号为DB41/ 253-2000。,水稻品种 豫粳5号,DB41/ 253-2000,事实型问答,GraphRAG-MCP快路径,standard_b29db63bd3a72c1d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6972E24E05397BE0A0A3A10,机器构建后待人工复核
785,标准《水稻品种 豫粳6号》的编号是什么？,该标准的编号为DB41/ 254-2000。,水稻品种 豫粳6号,DB41/ 254-2000,事实型问答,GraphRAG-MCP快路径,standard_b889d62f22b5deaa,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6DF2E24E05397BE0A0A3A10,机器构建后待人工复核
786,标准《水稻品种 香宝3号》的编号是什么？,该标准的编号为DB41/ 255-2000。,水稻品种 香宝3号,DB41/ 255-2000,事实型问答,GraphRAG-MCP快路径,standard_3716c99d1f63c86f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB6E02E24E05397BE0A0A3A10,机器构建后待人工复核
787,标准《水稻抛植苗泥质法育秧技术规程》的编号是什么？,该标准的编号为DB41/T 1157-2015。,水稻抛植苗泥质法育秧技术规程,DB41/T 1157-2015,事实型问答,GraphRAG-MCP快路径,standard_525fe5a6a07a8c1e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DE1A22E24E05397BE0A0A3A10,机器构建后待人工复核
788,标准《水稻抗倒伏减灾技术规程》的编号是什么？,该标准的编号为DB41/T 1203-2016。,水稻抗倒伏减灾技术规程,DB41/T 1203-2016,事实型问答,GraphRAG-MCP快路径,standard_807cb0393c173fec,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8C552E24E05397BE0A0A3A10,机器构建后待人工复核
789,标准《水稻低温阴雨寡照抗逆减灾技术规程》的编号是什么？,该标准的编号为DB41/T 1204-2016。,水稻低温阴雨寡照抗逆减灾技术规程,DB41/T 1204-2016,事实型问答,GraphRAG-MCP快路径,standard_6f99554e646a2a1a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D55CA2E24E05397BE0A0A3A10,机器构建后待人工复核
790,标准《水稻涝害抗逆减灾技术规程》的编号是什么？,该标准的编号为DB41/T 1205-2016。,水稻涝害抗逆减灾技术规程,DB41/T 1205-2016,事实型问答,GraphRAG-MCP快路径,standard_18b6278d896965c4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D0E632E24E05397BE0A0A3A10,机器构建后待人工复核
791,标准《水稻抗早衰技术规程》的编号是什么？,该标准的编号为DB41/T 1206-2016。,水稻抗早衰技术规程,DB41/T 1206-2016,事实型问答,GraphRAG-MCP快路径,standard_8593b63e77a96505,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8D892E24E05397BE0A0A3A10,机器构建后待人工复核
792,标准《水稻抗旱减灾技术规程》的编号是什么？,该标准的编号为DB41/T 1207-2016。,水稻抗旱减灾技术规程,DB41/T 1207-2016,事实型问答,GraphRAG-MCP快路径,standard_644571630ced886c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D76BF2E24E05397BE0A0A3A10,机器构建后待人工复核
793,标准《水稻高温热害抗逆减灾技术规程》的编号是什么？,该标准的编号为DB41/T 1208-2016。,水稻高温热害抗逆减灾技术规程,DB41/T 1208-2016,事实型问答,GraphRAG-MCP快路径,standard_fcab80bdd860c265,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D84812E24E05397BE0A0A3A10,机器构建后待人工复核
794,标准《稻田紫云英-水稻秸秆协同还田利用技术规程》的编号是什么？,该标准的编号为DB41/T 1346-2024。,稻田紫云英-水稻秸秆协同还田利用技术规程,DB41/T 1346-2024,事实型问答,GraphRAG-MCP快路径,standard_57a31377359cbc10,https://std.samr.gov.cn/db/search/stdDBDetailed?id=10B25A49BB07D4BBE06397BE0A0A6995,机器构建后待人工复核
795,标准《水稻主要病虫害绿色防控技术规程》的编号是什么？,该标准的编号为DB41/T 1630-2018。,水稻主要病虫害绿色防控技术规程,DB41/T 1630-2018,事实型问答,GraphRAG-MCP快路径,standard_c941965e39d197a3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D951C2E24E05397BE0A0A3A10,机器构建后待人工复核
796,标准《水稻主要病虫害绿色防控技术规程》的编号是什么？,该标准的编号为DB41/T 1630-2021。,水稻主要病虫害绿色防控技术规程,DB41/T 1630-2021,事实型问答,GraphRAG-MCP快路径,standard_11c6520401c803d3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C39D45D48599F8A9E05397BE0A0ADF0C,机器构建后待人工复核
797,标准《水稻直播栽培技术规程》的编号是什么？,该标准的编号为DB41/T 1763-2019。,水稻直播栽培技术规程,DB41/T 1763-2019,事实型问答,GraphRAG-MCP快路径,standard_eb5d6dac9319eef2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998CC207293C7450E05397BE0A0AF396,机器构建后待人工复核
798,标准《沿黄水稻机械化育插秧技术规范》的编号是什么？,该标准的编号为DB41/T 1984-2020。,沿黄水稻机械化育插秧技术规范,DB41/T 1984-2020,事实型问答,GraphRAG-MCP快路径,standard_23e925f83428b48e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B2393CC8105F9860E05397BE0A0AB139,机器构建后待人工复核
799,标准《水稻二化螟绿色防控技术规程》的编号是什么？,该标准的编号为DB41/T 2016-2020。,水稻二化螟绿色防控技术规程,DB41/T 2016-2020,事实型问答,GraphRAG-MCP快路径,standard_956362179872b9e9,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B4869B2411845654E05397BE0A0A6504,机器构建后待人工复核
800,标准《水稻化肥减施增效技术规程》的编号是什么？,该标准的编号为DB41/T 2053-2020。,水稻化肥减施增效技术规程,DB41/T 2053-2020,事实型问答,GraphRAG-MCP快路径,standard_20fa0552efb85b36,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B8ED239FC488B0CDE05397BE0A0A5701,机器构建后待人工复核
801,标准《沿黄稻区旱直播水稻田杂草防除技术规程》的编号是什么？,该标准的编号为DB41/T 2130-2021。,沿黄稻区旱直播水稻田杂草防除技术规程,DB41/T 2130-2021,事实型问答,GraphRAG-MCP快路径,standard_14f66e73d9202188,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C39D45D48588F8A9E05397BE0A0ADF0C,机器构建后待人工复核
802,标准《冬绿肥-水稻节肥栽培技术规程》的编号是什么？,该标准的编号为DB41/T 2383-2022。,冬绿肥-水稻节肥栽培技术规程,DB41/T 2383-2022,事实型问答,GraphRAG-MCP快路径,standard_b33fa139aa0acf3d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F1D5EC01995FFDEDE05397BE0A0ADAAF,机器构建后待人工复核
803,标准《灿型杂交水稻“三系”四级种子生产技术操作规程》的编号是什么？,该标准的编号为DB41/T 293.3-2002。,灿型杂交水稻“三系”四级种子生产技术操作规程,DB41/T 293.3-2002,事实型问答,GraphRAG-MCP快路径,standard_f083da586bfe93f8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB63C2E24E05397BE0A0A3A10,机器构建后待人工复核
804,标准《农作物四级种子生产技术规程 第3部分：水稻常规种》的编号是什么？,该标准的编号为DB41/T 293.3-2014。,农作物四级种子生产技术规程 第3部分：水稻常规种,DB41/T 293.3-2014,事实型问答,GraphRAG-MCP快路径,standard_e5c88145f77fd4fc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7D642E24E05397BE0A0A3A10,机器构建后待人工复核
805,标准《常规水稻四级种子生产技术操作规程》的编号是什么？,该标准的编号为DB41/T 293.4-2002。,常规水稻四级种子生产技术操作规程,DB41/T 293.4-2002,事实型问答,GraphRAG-MCP快路径,standard_02553cb1c0bc8f18,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB63D2E24E05397BE0A0A3A10,机器构建后待人工复核
806,标准《农作物四级种子生产技术规程 第4部分:水稻三系杂交种》的编号是什么？,该标准的编号为DB41/T 293.4-2014。,农作物四级种子生产技术规程 第4部分:水稻三系杂交种,DB41/T 293.4-2014,事实型问答,GraphRAG-MCP快路径,standard_f0ff82417ad6a8c2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DE35A2E24E05397BE0A0A3A10,机器构建后待人工复核
807,标准《机插秧水稻盘式育苗技术规程》的编号是什么？,该标准的编号为DB41/T 916-2014。,机插秧水稻盘式育苗技术规程,DB41/T 916-2014,事实型问答,GraphRAG-MCP快路径,standard_9ee301189db831eb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DDE6C2E24E05397BE0A0A3A10,机器构建后待人工复核
808,标准《机插秧水稻大田栽培技术规程》的编号是什么？,该标准的编号为DB41/T 917-2014。,机插秧水稻大田栽培技术规程,DB41/T 917-2014,事实型问答,GraphRAG-MCP快路径,standard_81b3df38dd89d3c2,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7F4C2E24E05397BE0A0A3A10,机器构建后待人工复核
